week,week_date,month,icb,synthetic_dgp_version,resp_111_calls,bed_occupancy,dtoc_patients,ae_type1_attendances,ed_4hr_breach_count,ambulance_category_red_calls,elective_admissions,elective_cancellations,acute_admissions_nonelective,total_discharges,staff_absence_rate_pct,critical_care_occupancy_pct,mental_health_inpatient_beds_occ_pct,delayed_transfers_ge_21_days,ooh_primary_care_contacts,community_crisis_team_contacts,gp_same_day_booking_rate_pct,nhs_111_online_assessments_completed,social_care_package_delays_new,infection_isolation_beds_occupied,mean_los_acute_days,winter_pressure_index_demo
395,2030-07-29,7.0,NHS Birmingham and Solihull ICB,2026.04.8,10552.0,121.24091048244324,18.0,1529.0,163.0,130.0,487.0,125.0,986.0,1438.0,14.697566732643022,101.20317538774955,96.60977753505384,158.0,1873.0,457.0,22.74370316886801,2679.0,91.0,48.0,7.419631749952152,9.017264488251952
395,2030-07-29,7.0,NHS Greater Manchester ICB,2026.04.8,0.0,16.121652922638777,0.0,0.0,0.0,0.0,140.0,0.0,0.0,152.0,0.9707449158329108,45.3013136213934,47.56627990311864,0.0,313.0,0.0,71.02956230973,314.0,0.0,15.0,1.9138257574905069,-0.0124942417521939
395,2030-07-29,7.0,NHS South East London ICB,2026.04.8,0.0,-7.234393028748413,0.0,0.0,0.0,0.0,64.0,0.0,0.0,45.0,1.017562054669064,44.22532401806482,51.520873915697344,0.0,36.0,0.0,83.4956790060169,127.0,0.0,15.0,1.9316408804772296,-0.0214677555032188
395,2030-07-29,7.0,NHS North East and North Cumbria ICB,2026.04.8,1.0,67.04572484310853,0.0,451.0,7.0,0.0,322.0,0.0,386.0,680.0,0.9338320348980224,49.826517747263885,62.97881826839628,0.0,1029.0,146.0,54.96935442933188,1321.0,0.0,17.0,4.229974371730358,1.1575525677645284
395,2030-07-29,7.0,NHS Devon ICB,2026.04.8,0.0,48.60271892250011,0.0,281.0,14.0,0.0,220.0,0.0,235.0,427.0,1.0075568355490865,49.21786080226691,57.290717261194935,0.0,774.0,68.0,53.56497077616337,1235.0,0.0,12.0,3.457150858673642,0.0071979844287345
395,2030-07-29,7.0,NHS Nottingham and Nottinghamshire ICB,2026.04.8,0.0,-8.632642453372911,0.0,0.0,0.0,0.0,56.0,0.0,0.0,61.0,1.0493530055845668,45.58614477886186,49.52450300008675,0.0,47.0,0.0,77.28904906297021,0.0,0.0,18.0,2.060588092907227,-0.0113979167570101
395,,7.0,England,2026.04.8,1758.8333333333333,39.52399528142822,3.0,376.8333333333333,30.666666666666668,21.666666666666668,214.8333333333333,20.83333333333333,267.8333333333333,467.1666666666667,3.2794359298627787,55.89338939260008,60.91516164725797,26.33333333333333,678.6666666666666,111.83333333333331,60.51538645884673,946.0,15.166666666666666,20.83333333333333,3.502135285205186,1.6894425210721324
396,2030-08-05,8.0,NHS Birmingham and Solihull ICB,2026.04.8,5737.0,123.36861704781406,15.0,1491.0,202.0,123.0,517.0,129.0,905.0,1392.0,15.437041629765874,97.72868503964214,94.0402682878696,165.0,1637.0,403.0,24.56070750760156,2574.0,96.0,48.0,6.842955971411136,7.912056020149192
396,2030-08-05,8.0,NHS Greater Manchester ICB,2026.04.8,0.0,11.242313784108369,0.0,0.0,0.0,0.0,143.0,0.0,0.0,165.0,0.9510739075794622,45.67863727463183,50.10356780428778,0.0,374.0,0.0,71.53764603893305,402.0,0.0,15.0,2.0519002181693247,-0.0411637732546405
396,2030-08-05,8.0,NHS South East London ICB,2026.04.8,0.0,-10.68392348611918,0.0,0.0,0.0,0.0,61.0,0.0,0.0,38.0,0.9806973330808229,44.08206737324047,49.92781141812533,0.0,0.0,0.0,80.16379536360434,0.0,0.0,14.0,1.9908401212926088,0.0201623431583727
